user,edit_count,new_count,tot_scoredif,scoredif_per_edit,first_edit,latest_edit,lifetime
"1 Twig",2,0,1,0.5,"2011-10-20 19:36:00Z","2011-10-20 19:39:00Z",5.70776221686847e-06
101EASTMAIN,4,0,-13,-3.25,"2011-07-30 12:23:00Z","2011-07-30 12:23:00Z",0.0
110MeD50,618,74,1131,1.83009708737864,"2012-07-15 02:50:15Z","2023-04-24 20:41:00Z",10.782859113394
11950mary,1,1,0,0.0,"2013-01-21 04:04:00Z","2013-01-21 04:04:00Z",0.0
122201,1090,1047,1725,1.58256880733945,"2012-04-05 17:08:00Z","2012-04-07 15:14:00Z",0.00526255707779568
1796,5,3,8,1.6,"2013-06-14 04:20:00Z","2013-06-16 06:50:00Z",0.00576484018222314
1837fords,5,3,5,1.0,"2015-11-01 21:30:00Z","2015-11-01 21:33:00Z",5.70776221686847e-06
19NAN36,252,56,76,0.301587301587302,"2010-09-05 04:12:00Z","2013-03-12 16:04:28Z",2.51916374936572
19Trixie43*,1325,228,2559,1.93132075471698,"2013-07-18 20:06:00Z","2024-08-19 17:55:00Z",11.0956411719947
1dutchess,407,108,244,0.599508599508599,"2006-12-30 21:56:00Z","2012-02-06 15:38:00Z",5.10613013698579
1genealogyaddict,14,5,10,0.714285714285714,"2011-07-21 01:44:00Z","2011-07-21 02:20:00Z",6.84931504297746e-05
1kaseyjane,36,5,26,0.722222222222222,"2009-08-11 15:36:00Z","2009-08-17 20:46:00Z",0.0170281582958486
207.216.249.17,1,1,-33,-33.0,"2006-12-26 04:13:19Z","2006-12-26 04:13:19Z",0.0
209.195.111.23,1,0,-33,-33.0,"2009-03-03 22:36:43Z","2009-03-03 22:36:43Z",0.0
20aperfectimage07,6,0,4,0.666666666666667,"2025-02-13 17:19:00Z","2025-04-02 20:17:00Z",0.131845509893682
22Pridham,13,9,16,1.23076923076923,"2020-02-27 02:58:00Z","2022-08-12 07:07:02Z",2.45800805428665
2BConnie,1539,1087,28438,18.4782326185835,"2020-06-08 06:34:00Z","2020-06-09 19:01:35Z",0.00416206874667782
2PacksAday,39,18,32,0.82051282051282,"2011-11-05 01:35:00Z","2011-11-05 02:58:00Z",0.000157914764872969
2ashland,1,1,1,1.0,"2008-12-31 19:30:00Z","2008-12-31 19:30:00Z",0.0
2go4broke,522,505,4851,9.29310344827586,"2012-07-08 01:37:00Z","2012-07-09 19:49:00Z",0.00481735159808846
2m474,1039,824,1913,1.84119345524543,"2009-05-30 13:35:00Z","2015-03-04 21:20:00Z",5.76526826484103
3133,72,69,-177,-2.45833333333333,"2007-08-16 20:35:00Z","2007-08-16 20:55:00Z",3.80517506640251e-05
3Greenfrogs,4,3,4,1.0,"2011-03-23 17:50:00Z","2011-03-23 18:01:00Z",2.09284627376354e-05
3Oldbones,3,0,0,0.0,"2020-10-06 13:38:00Z","2020-10-06 13:38:00Z",0.0
3ai76,7,3,3,0.428571428571429,"2019-10-06 17:22:00Z","2019-10-06 17:27:00Z",9.51293702811411e-06
3turtles,3,3,7,2.33333333333333,"2015-01-05 16:58:00Z","2015-01-05 17:12:00Z",2.66362262302882e-05
"4 Pearls",18,3,3,0.166666666666667,"2013-03-09 03:44:00Z","2013-03-10 04:46:00Z",0.0028576864529248
4bzlauren,81,15,68,0.839506172839506,"2025-07-02 20:03:00Z","2025-07-03 20:08:13Z",0.0027496511920368
4foster,1334,1334,1747,1.3095952023988,"2007-06-05 05:10:00Z","2007-06-05 05:15:00Z",9.51293702811411e-06
4yah101,1,1,2,2.0,"2014-02-16 01:19:00Z","2014-02-16 01:19:00Z",0.0
4yurisonly,18,9,15,0.833333333333333,"2022-12-20 21:37:00Z","2022-12-20 21:51:00Z",2.66362262302882e-05
50vicar,153,41,186,1.2156862745098,"2011-08-04 19:08:00Z","2014-02-06 18:20:00Z",2.51223744292271
559du,21,10,14,0.666666666666667,"2007-10-22 02:56:47Z","2007-10-22 04:05:00Z",0.000129788178848485
5759Bush,1,0,1,1.0,"2024-06-03 09:17:00Z","2024-06-03 09:17:00Z",0.0
65model,39,6,20,0.512820512820513,"2010-07-15 01:52:00Z","2023-11-24 04:37:00Z",13.3701769406397
66.183.70.183,1,1,0,0.0,"2007-01-03 00:11:13Z","2007-01-03 00:11:13Z",0.0
6lilndns,115,54,51,0.443478260869565,"2014-05-09 15:22:00Z","2014-05-09 17:14:00Z",0.0002130898021876
717Jock,1,1,1,1.0,"2011-11-12 09:24:00Z","2011-11-12 09:24:00Z",0.0
71sadie,6,3,2,0.333333333333333,"2014-11-11 16:37:00Z","2014-11-11 16:53:00Z",3.04413997657495e-05
72725,3,2,3,1.0,"2013-10-18 01:24:00Z","2013-10-18 01:30:00Z",1.14155257095213e-05
8178,112,21,33,0.294642857142857,"2014-07-07 03:34:00Z","2014-07-08 04:38:00Z",0.00286149162901183
88buckaroo,1060,481,2252,2.12452830188679,"2009-09-07 03:10:00Z","2011-07-31 16:18:00Z",1.89738964992384
9Betty0,1,1,2,2.0,"2016-02-26 16:17:00Z","2016-02-26 16:17:00Z",0.0
"A heffernan",1,0,-1,-1.0,"2011-04-29 09:41:00Z","2011-04-29 09:41:00Z",0.0
"A johnson",2,0,0,0.0,"2017-05-22 00:02:00Z","2017-05-22 00:02:00Z",0.0
A-marsh,855,603,4117,4.81520467836257,"2008-12-08 11:18:00Z","2008-12-14 01:45:00Z",0.0153481735158967
A.Hawkins,29,10,23,0.793103448275862,"2014-11-03 21:06:00Z","2014-11-18 01:57:32Z",0.0389108320647111
A.Louwsma,132,35,76,0.575757575757576,"2017-08-15 12:39:00Z","2017-08-31 08:19:00Z",0.0433409436835512
A.W.Ockleston,5,0,0,0.0,"2015-04-08 22:04:00Z","2015-04-08 22:05:00Z",1.90258740562282e-06
A.taunton,152,57,-12,-0.0789473684210526,"2007-10-29 14:12:00Z","2007-11-03 15:53:00Z",0.0138907914764363
A.w.,87,41,71,0.816091954022989,"2012-02-21 08:24:00Z","2012-02-22 12:49:00Z",0.00324391171923035
A.zara,50,49,3031,60.62,"2018-03-26 19:13:00Z","2018-03-30 22:13:00Z",0.0113013698630137
A1796,12,4,6,0.5,"2014-07-08 01:19:00Z","2014-07-08 01:58:00Z",7.42009126466431e-05
A387335,2,1,2,1.0,"2015-12-09 00:54:00Z","2015-12-09 00:54:00Z",0.0
AByce,87,35,61,0.701149425287356,"2009-10-20 01:43:00Z","2009-10-20 04:22:00Z",0.00030251141535501
ACHudson,49,23,23,0.469387755102041,"2016-09-15 15:47:00Z","2016-09-15 17:09:00Z",0.000156012176191562
ACPL,1367,422,4389,3.21068032187271,"2014-07-30 23:00:00Z","2023-03-15 18:21:00Z",8.62960616438331
ACPL-GenCenter,45,14,136,3.02222222222222,"2014-03-31 17:23:00Z","2014-11-19 23:10:00Z",0.639016362252862
